d,valence,eltype,solve_tol,target,ops,method,solver,der_seconds,strat_seconds,total_seconds,bytes,nullity,residual,meets_target,lsq_err,support,perm_ok,dims,nnz,status
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/Auto,AutoSolver,1.8209,0.0004,1.8213,3626096,3,7.781e-07,false,6.044e-05,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/SVD,SVDSolver,6.2941,0.0002,6.2943,13217824,3,6.476e-07,false,9.437e-06,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/LU,LUSolver,1.2238,0.0004,1.2243,6281520,3,2.514e-07,false,1.340e-05,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/Gram,GramSolver,1.4740,0.0004,1.4744,7612800,3,5.956e-07,false,1.575e-05,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/Arpack,ArpackSolver,1.6169,0.0004,1.6173,3778176,3,4.902e-07,false,1.956e-05,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/Krylov,KrylovSolver,6.9959,0.0006,6.9965,5924320,3,7.175e-07,false,8.514e-05,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/Lanczos,LanczosSolver,0.0176,0.0000,0.0176,14808208,0,NaN,false,NaN,NaN,false,20 20 20,210,error: no nontrivial derivations at tol = 1.0e-6
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/LSMR,LSMRSolver,410.5777,0.0002,410.5779,3358457984,3,3.449e-08,false,3.429e-06,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,symmetric,SylverLining/ShiftInvert,ShiftInvertSolver,35.0471,0.0000,35.0471,1292604416,0,NaN,false,NaN,NaN,false,20 20 20,210,error: no nontrivial derivations at tol = 1.0e-6
20,3,Float32,1e-06,1e-08,symmetric,Auto,none,8.9045,0.0002,8.9047,16426816,3,6.486e-06,false,1.650e-05,1.0000,true,20 20 20,210,ok
20,3,Float32,1e-06,1e-08,symmetric,SymmetricGram,none,2.3959,0.0002,2.3961,33068024,3,1.594e-07,false,4.268e-06,1.0000,true,20 20 20,210,ok
20,3,Float64,1e-06,1e-16,universal,SylverLining/Auto,AutoSolver,5.2219,0.0004,5.2223,22203872,13,9.140e-15,false,3.652e-01,0.8667,false,20 20 20,210,ok
20,3,Float64,1e-06,1e-16,universal,SylverLining/SVD,SVDSolver,45.7264,0.0004,45.7268,83475120,13,5.035e-15,false,4.931e-01,0.7569,false,20 20 20,210,ok
20,3,Float64,1e-06,1e-16,universal,SylverLining/LU,LUSolver,13.5722,0.0004,13.5726,38903648,13,2.222e-15,false,5.348e-01,0.7140,false,20 20 20,210,ok
20,3,Float64,1e-06,1e-16,universal,SylverLining/Gram,GramSolver,6.0195,0.0004,6.0199,43916880,13,1.496e-14,false,2.149e-01,0.9538,false,20 20 20,210,ok
20,3,Float64,1e-06,1e-16,universal,SylverLining/Arpack,ArpackSolver,5.8196,0.0004,5.8200,24247568,13,2.197e-15,false,4.747e-01,0.7747,false,20 20 20,210,ok
20,3,Float64,1e-06,1e-16,universal,SylverLining/Lanczos,LanczosSolver,0.1419,0.0000,0.1419,79989696,0,NaN,false,NaN,NaN,false,20 20 20,210,error: no nontrivial derivations at tol = 1.0e-6
20,3,Float64,1e-06,1e-16,universal,SylverLining/LSMR,LSMRSolver,26.3515,0.0000,26.3515,534178528,0,NaN,false,NaN,NaN,false,20 20 20,210,error: no nontrivial derivations at tol = 1.0e-6
20,3,Float64,1e-06,1e-16,universal,SylverLining/ShiftInvert,ShiftInvertSolver,44.6153,0.0000,44.6153,5042475520,0,NaN,false,NaN,NaN,false,20 20 20,210,error: no nontrivial derivations at tol = 1.0e-6
